"","Term","Ont","N","Up","Down","P.Up","P.Down"
"GO:0048534","hematopoietic or lymphoid organ development","BP",667,2,0,0.857292098603872,1
"GO:0048537","mucosal-associated lymphoid tissue development","BP",6,0,0,1,1
"GO:0048541","Peyer's patch development","BP",6,0,0,1,1
"GO:0048565","digestive tract development","BP",97,0,0,1,1
"GO:0048566","embryonic digestive tract development","BP",29,0,0,1,1
"GO:0048568","embryonic organ development","BP",306,1,0,0.790414799488111,1
"GO:0048583","regulation of response to stimulus","BP",2479,12,5,0.610779935733559,0.160154481630532
"GO:0048584","positive regulation of response to stimulus","BP",1547,7,4,0.676718844848789,0.104980937549134
"GO:0048585","negative regulation of response to stimulus","BP",987,6,2,0.372898483470781,0.34441454705127
"GO:0048608","reproductive structure development","BP",333,2,0,0.500979400894702,1
"GO:0048609","multicellular organismal reproductive process","BP",448,4,2,0.184792768891057,0.10125839988337
"GO:0048646","anatomical structure formation involved in morphogenesis","BP",743,3,0,0.731034958491669,1
"GO:0048731","system development","BP",2933,13,4,0.753644893455166,0.507330730034512
"GO:0048732","gland development","BP",361,2,0,0.544857727177866,1
"GO:0048856","anatomical structure development","BP",3390,15,5,0.775312824098968,0.404430391362337
"GO:0048869","cellular developmental process","BP",2442,13,2,0.453378402269995,0.844095590549227
"GO:0048870","cell motility","BP",1026,7,1,0.249425806469052,0.73660503979444
"GO:0048872","homeostasis of number of cells","BP",177,0,0,1,1
"GO:0050670","regulation of lymphocyte proliferation","BP",152,0,0,1,1
"GO:0050671","positive regulation of lymphocyte proliferation","BP",94,0,0,1,1
"GO:0050727","regulation of inflammatory response","BP",227,1,0,0.684620007981271,1
"GO:0050728","negative regulation of inflammatory response","BP",93,0,0,1,1
"GO:0050776","regulation of immune response","BP",650,4,1,0.411719613477404,0.562296765827265
"GO:0050778","positive regulation of immune response","BP",485,1,1,0.918121028525262,0.456939064960229
"GO:0050789","regulation of biological process","BP",5756,26,8,0.849179836491197,0.399146836957373
"GO:0050793","regulation of developmental process","BP",1624,8,1,0.581206885725727,0.88847524171699
"GO:0050794","regulation of cellular process","BP",5467,25,7,0.810940008110327,0.555553249532913
"GO:0050795","regulation of behavior","BP",55,1,1,0.241864806853214,0.0653250630081215
"GO:0050802","circadian sleep/wake cycle, sleep","BP",18,0,0,1,1
"GO:0050848","regulation of calcium-mediated signaling","BP",72,1,0,0.304291606596994,1
"GO:0050850","positive regulation of calcium-mediated signaling","BP",32,0,0,1,1
"GO:0050851","antigen receptor-mediated signaling pathway","BP",197,1,0,0.632032749158585,1
"GO:0050852","T cell receptor signaling pathway","BP",154,1,0,0.541427291199872,1
"GO:0050854","regulation of antigen receptor-mediated signaling pathway","BP",45,1,0,0.202618766188894,1
"GO:0050856","regulation of T cell receptor signaling pathway","BP",31,1,0,0.144319053720038,1
"GO:0050857","positive regulation of antigen receptor-mediated signaling pathway","BP",15,1,0,0.0725789517962487,1
"GO:0050862","positive regulation of T cell receptor signaling pathway","BP",12,1,0,0.0584878186868899,1
"GO:0050863","regulation of T cell activation","BP",233,1,0,0.694218262060515,1
"GO:0050864","regulation of B cell activation","BP",89,0,0,1,1
"GO:0050865","regulation of cell activation","BP",400,1,0,0.871746820795383,1
"GO:0050867","positive regulation of cell activation","BP",253,1,0,0.724194533460644,1
"GO:0050870","positive regulation of T cell activation","BP",159,1,0,0.552991239400796,1
"GO:0050871","positive regulation of B cell activation","BP",60,0,0,1,1
"GO:0050878","regulation of body fluid levels","BP",402,3,1,0.326766310591879,0.395659782125442
"GO:0050900","leukocyte migration","BP",344,4,0,0.0922205045689976,1
"GO:0051046","regulation of secretion","BP",553,2,2,0.773972356080682,0.143937404337326
"GO:0051048","negative regulation of secretion","BP",156,0,0,1,1
"GO:0051049","regulation of transport","BP",1189,3,2,0.948353863129494,0.438010700458761
"GO:0051051","negative regulation of transport","BP",316,0,1,1,0.325594126865187
"GO:0051094","positive regulation of developmental process","BP",915,4,0,0.68579154477195,1
"GO:0051239","regulation of multicellular organismal process","BP",2041,9,3,0.72295788533103,0.471955130381644
"GO:0051240","positive regulation of multicellular organismal process","BP",1168,6,2,0.539657200114892,0.428494316740645
"GO:0051241","negative regulation of multicellular organismal process","BP",835,5,1,0.408046558101795,0.658079009165957
"GO:0051249","regulation of lymphocyte activation","BP",309,1,0,0.793657235515127,1
"GO:0051251","positive regulation of lymphocyte activation","BP",211,1,0,0.657561398379257,1
"GO:0051270","regulation of cellular component movement","BP",658,5,0,0.230947538958142,1
"GO:0051271","negative regulation of cellular component movement","BP",205,2,0,0.274039656356527,1
"GO:0051608","histamine transport","BP",12,0,0,1,1
"GO:0051674","localization of cell","BP",1026,7,1,0.249425806469052,0.73660503979444
"GO:0051704","multi-organism process","BP",609,4,2,0.364049980794475,0.168218753085964
"GO:0055086","nucleobase-containing small molecule metabolic process","BP",376,1,0,0.854538693345463,1
"GO:0055123","digestive system development","BP",104,0,0,1,1
"GO:0060047","heart contraction","BP",224,2,0,0.309468740603554,1
"GO:0060167","regulation of adenosine receptor signaling pathway","BP",3,0,0,1,1
"GO:0060169","negative regulation of adenosine receptor signaling pathway","BP",1,0,0,1,1
"GO:0060405","regulation of penile erection","BP",7,0,1,1,0.00853842798603255
"GO:0060407","negative regulation of penile erection","BP",1,0,0,1,1
"GO:0060541","respiratory system development","BP",147,2,0,0.167371863810558,1
"GO:0060548","negative regulation of cell death","BP",689,4,2,0.456532089651973,0.204227465420792
"GO:0061008","hepaticobiliary system development","BP",108,0,0,1,1
"GO:0061458","reproductive system development","BP",334,2,0,0.502590500670909,1
"GO:0065007","biological regulation","BP",6045,30,8,0.602757045603528,0.489455934280952
"GO:0065008","regulation of biological quality","BP",2536,13,3,0.516417729445511,0.639651370506317
"GO:0070227","lymphocyte apoptotic process","BP",51,0,0,1,1
"GO:0070228","regulation of lymphocyte apoptotic process","BP",36,0,0,1,1
"GO:0070229","negative regulation of lymphocyte apoptotic process","BP",22,0,0,1,1
"GO:0070231","T cell apoptotic process","BP",36,0,0,1,1
"GO:0070232","regulation of T cell apoptotic process","BP",22,0,0,1,1
"GO:0070233","negative regulation of T cell apoptotic process","BP",15,0,0,1,1
"GO:0070242","thymocyte apoptotic process","BP",14,0,0,1,1
"GO:0070243","regulation of thymocyte apoptotic process","BP",9,0,0,1,1
"GO:0070244","negative regulation of thymocyte apoptotic process","BP",6,0,0,1,1
"GO:0070254","mucus secretion","BP",9,0,0,1,1
"GO:0070255","regulation of mucus secretion","BP",7,0,0,1,1
"GO:0070256","negative regulation of mucus secretion","BP",2,0,0,1,1
"GO:0070482","response to oxygen levels","BP",315,3,1,0.208452546891516,0.324737689021215
"GO:0070661","leukocyte proliferation","BP",224,0,0,1,1
"GO:0070663","regulation of leukocyte proliferation","BP",162,0,0,1,1
"GO:0070665","positive regulation of leukocyte proliferation","BP",100,0,0,1,1
"GO:0071702","organic substance transport","BP",1543,8,2,0.518175341811095,0.587030497241656
"GO:0071704","organic substance metabolic process","BP",5468,25,7,0.811360200231042,0.555859946490398
"GO:0071705","nitrogen compound transport","BP",1330,7,2,0.506744922914764,0.500147741601307
"GO:0071887","leukocyte apoptotic process","BP",81,0,0,1,1
"GO:0072347","response to anesthetic","BP",66,2,0,0.0429451139587568,1
"GO:0072521","purine-containing compound metabolic process","BP",295,1,0,0.778094070306796,1
"GO:0072522","purine-containing compound biosynthetic process","BP",140,1,0,0.507469838879991,1
"GO:0072523","purine-containing compound catabolic process","BP",32,0,0,1,1
"GO:0080134","regulation of response to stress","BP",906,3,2,0.845673381566529,0.3060587973334
"GO:0090257","regulation of muscle system process","BP",191,0,0,1,1
"GO:0090407","organophosphate biosynthetic process","BP",342,1,1,0.826240346953239,0.34751784856768
"GO:0098609","cell-cell adhesion","BP",530,3,0,0.500230921756062,1
"GO:1901135","carbohydrate derivative metabolic process","BP",631,1,0,0.962519453746682,1
"GO:1901136","carbohydrate derivative catabolic process","BP",118,0,0,1,1
"GO:1901137","carbohydrate derivative biosynthetic process","BP",372,1,0,0.851459167539096,1
"GO:1901264","carbohydrate derivative transport","BP",41,0,0,1,1
"GO:1901292","nucleoside phosphate catabolic process","BP",45,0,0,1,1
"GO:1901293","nucleoside phosphate biosynthetic process","BP",172,1,0,0.581739459744148,1
"GO:1901360","organic cyclic compound metabolic process","BP",3186,16,5,0.5500622138292,0.343370422862018
"GO:1901361","organic cyclic compound catabolic process","BP",397,0,1,1,0.391774952373116
"GO:1901362","organic cyclic compound biosynthetic process","BP",2386,14,4,0.293092252458284,0.330004459518033
"GO:1901564","organonitrogen compound metabolic process","BP",3581,13,4,0.953734516161977,0.700097630338265
"GO:1901565","organonitrogen compound catabolic process","BP",699,1,2,0.974075491834715,0.208814744382112
"GO:1901566","organonitrogen compound biosynthetic process","BP",967,1,0,0.994116198061793,1
"GO:1901575","organic substance catabolic process","BP",1223,2,2,0.988935078764319,0.453284547252245
"GO:1901576","organic substance biosynthetic process","BP",3231,16,5,0.577822766931553,0.35665303768081
"GO:1901657","glycosyl compound metabolic process","BP",76,0,0,1,1
"GO:1901658","glycosyl compound catabolic process","BP",19,0,0,1,1
"GO:1901659","glycosyl compound biosynthetic process","BP",30,0,0,1,1
"GO:1901698","response to nitrogen compound","BP",827,5,1,0.399826263665171,0.65436801256976
"GO:1901700","response to oxygen-containing compound","BP",1244,8,2,0.278888645093364,0.46263106011567
"GO:1902105","regulation of leukocyte differentiation","BP",198,1,0,0.633916326258786,1
"GO:1902107","positive regulation of leukocyte differentiation","BP",114,1,0,0.437762703962303,1
"GO:1902531","regulation of intracellular signal transduction","BP",1132,8,1,0.199081507152151,0.772731490900695
"GO:1902533","positive regulation of intracellular signal transduction","BP",686,5,1,0.257561220440468,0.582653723119194
"GO:1903037","regulation of leukocyte cell-cell adhesion","BP",222,1,0,0.676396958923105,1
"GO:1903039","positive regulation of leukocyte cell-cell adhesion","BP",173,1,0,0.583874410323947,1
"GO:1903522","regulation of blood circulation","BP",235,2,0,0.329862178042691,1
"GO:1903524","positive regulation of blood circulation","BP",61,0,0,1,1
"GO:1903706","regulation of hemopoiesis","BP",348,1,0,0.831597980310025,1
"GO:1903708","positive regulation of hemopoiesis","BP",144,1,0,0.517415158322877,1
"GO:2000026","regulation of multicellular organismal development","BP",1328,6,1,0.67142588418862,0.827907621407859
"GO:2000106","regulation of leukocyte apoptotic process","BP",61,0,0,1,1
"GO:2000107","negative regulation of leukocyte apoptotic process","BP",38,0,0,1,1
"GO:2000145","regulation of cell motility","BP",606,5,0,0.184143415670935,1
"GO:2000146","negative regulation of cell motility","BP",181,2,0,0.229318413908588,1
"GO:2000241","regulation of reproductive process","BP",103,1,1,0.405447532899917,0.119139328408675
"GO:2000242","negative regulation of reproductive process","BP",39,0,0,1,1
"GO:0000165","MAPK cascade","BP",682,2,1,0.865939121104436,0.580435141980726
"GO:0000902","cell morphogenesis","BP",656,2,0,0.850640237748049,1
"GO:0000904","cell morphogenesis involved in differentiation","BP",487,2,0,0.709048787812766,1
"GO:0001568","blood vessel development","BP",492,2,0,0.714449080168636,1
"GO:0001932","regulation of protein phosphorylation","BP",961,3,2,0.873739377133364,0.332125991198089
"GO:0001934","positive regulation of protein phosphorylation","BP",722,2,1,0.88675803335736,0.60214630734628
"GO:0001941","postsynaptic membrane organization","BP",26,1,0,0.122503945228885,1
"GO:0001944","vasculature development","BP",510,2,0,0.733220201352684,1
"GO:0002065","columnar/cuboidal epithelial cell differentiation","BP",81,0,0,1,1
"GO:0006464","cellular protein modification process","BP",2217,11,2,0.57113115091128,0.796091403315701
"GO:0006468","protein phosphorylation","BP",1311,6,2,0.658512106324499,0.491969296930432
"GO:0006996","organelle organization","BP",1930,11,0,0.368654422783826,1
"GO:0007043","cell-cell junction assembly","BP",88,0,0,1,1
"GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","BP",63,0,0,1,1
"GO:0007157","heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules","BP",25,1,0,0.118076122570811,1
"GO:0007267","cell-cell signaling","BP",1255,10,2,0.0880889873277901,0.467499037674995
"GO:0007268","chemical synaptic transmission","BP",487,8,1,0.00256247127985786,0.4583433122114
"GO:0007399","nervous system development","BP",1459,8,1,0.450456116244427,0.857668464956515
"GO:0007409","axonogenesis","BP",325,2,0,0.487976855920075,1
"GO:0007416","synapse assembly","BP",88,1,0,0.35843912841068,1
"GO:0007417","central nervous system development","BP",679,5,1,0.250828878453544,0.578764175988234
"GO:0007420","brain development","BP",490,3,0,0.447685605693686,1
"GO:0008104","protein localization","BP",1484,7,2,0.630791241264745,0.563893091489862
"GO:0009887","animal organ morphogenesis","BP",747,3,1,0.734473871793613,0.615191847137497
"GO:0009893","positive regulation of metabolic process","BP",2306,11,4,0.63026271023508,0.304851255684708
"GO:0010001","glial cell differentiation","BP",165,1,0,0.566492001548825,1
"GO:0010562","positive regulation of phosphorus metabolic process","BP",806,2,1,0.921285748752225,0.644451772794767
"GO:0010604","positive regulation of macromolecule metabolic process","BP",2145,10,4,0.658576733211748,0.25586934743159
"GO:0010769","regulation of cell morphogenesis involved in differentiation","BP",198,0,0,1,1
"GO:0010975","regulation of neuron projection development","BP",305,0,0,1,1
"GO:0014013","regulation of gliogenesis","BP",89,2,0,0.0729805832990282,1
"GO:0016043","cellular component organization","BP",3333,17,2,0.517758692426236,0.954327411427075
"GO:0016055","Wnt signaling pathway","BP",325,1,0,0.810139069057612,1
"GO:0016310","phosphorylation","BP",1577,10,2,0.256036710354189,0.600023061397539
"GO:0016339","calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules","BP",24,0,0,1,1
"GO:0019220","regulation of phosphate metabolic process","BP",1161,4,2,0.850539021991839,0.425308882711902
"GO:0019222","regulation of metabolic process","BP",3688,18,6,0.611880578549847,0.269655133919231
"GO:0019538","protein metabolic process","BP",3056,12,4,0.886498853636657,0.546506190877417
"GO:0019827","stem cell population maintenance","BP",101,0,0,1,1
"GO:0021537","telencephalon development","BP",157,2,0,0.185301164624853,1
"GO:0021543","pallium development","BP",108,2,0,0.101537612241401,1
"GO:0021987","cerebral cortex development","BP",71,2,0,0.0489807748203922,1
"GO:0022008","neurogenesis","BP",993,5,0,0.565015287222892,1
"GO:0022604","regulation of cell morphogenesis","BP",301,0,0,1,1
"GO:0022607","cellular component assembly","BP",1685,12,1,0.122429324332594,0.898233016810133
"GO:0023014","signal transduction by protein phosphorylation","BP",688,2,1,0.869265262525506,0.583759009515539
"GO:0030030","cell projection organization","BP",829,4,0,0.606391488755612,1
"GO:0030111","regulation of Wnt signaling pathway","BP",215,1,0,0.664531536751685,1
"GO:0030178","negative regulation of Wnt signaling pathway","BP",133,0,0,1,1
